date,dining_hall,swipes,featured_item,week,coffee_consumed
2024-01-08,Brooks,108,Pasta,1,24
2024-01-08,McKinley,126,Burger,1,22
2024-01-09,Brooks,112,Chicken,1,26
2024-01-09,McKinley,129,Pizza,1,24
2024-01-10,Brooks,116,Tacos,1,27
2024-01-10,McKinley,133,Salad,1,23
2024-01-11,Brooks,110,Stir-Fry,1,29
2024-01-11,McKinley,131,Soup,1,25
2024-01-12,Brooks,119,Burrito,1,31
2024-01-12,McKinley,137,Fish,1,27
2024-01-15,Brooks,120,Pasta,2,30
2024-01-15,McKinley,130,Burger,2,25
2024-01-16,Brooks,115,Chicken,2,28
2024-01-16,McKinley,138,Pizza,2,31
2024-01-17,Brooks,125,Tacos,2,29
2024-01-17,McKinley,142,Salad,2,27
2024-01-18,Brooks,118,Stir-Fry,2,33
2024-01-18,McKinley,135,Soup,2,26
2024-01-19,Brooks,127,Burrito,2,35
2024-01-19,McKinley,145,Fish,2,30
2024-01-22,Brooks,132,Lasagna,3,32
2024-01-22,McKinley,140,Burger,3,28
2024-01-23,Brooks,121,Pasta,3,34
2024-01-23,McKinley,136,Chicken,3,29
2024-01-24,Brooks,128,Tacos,3,36
2024-01-24,McKinley,143,Pizza,3,31
2024-01-25,Brooks,134,Burger,3,38
2024-01-25,McKinley,147,Stir-Fry,3,33
2024-01-26,Brooks,130,Lasagna,3,40
2024-01-26,McKinley,150,Fish,3,35
